"version_ID","master_ID","publication","publication_year","local_path","DR_group_ID","locality","country","lat","long","mean_date_BP","date_range","SNP_hits","assessment"
"I2477","I2477","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2477_1240k.bam","Italy_North_BellBeaker_2","Emilia Romagna, Parma, Via Guidorossi","Italy",44.8,10.333333,4015,"2200-1930 BCE",782739,"PASS"
"I14675","I14675","FernandesNatureEcologyEvolution2020","2020","/media/ydiekman/external1/Documents/__MAINZ/data/Fernandes_NEE_2020/BAM/I14675.hg19.bam","Italy_Sardinia_C_MonteClaro","Sardinia, Serra Cabriles","Italy",40.789722,8.591389,4021,"2191-1973 calBCE (3680±25 BP, PSUAMS-6689)",798110,"PASS"
"I2653","I2653","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2653_1240k.bam","Scotland_MBA","Scotland, Longniddry, Evergreen","Great Britain",55.98,-2.896,3224,"1389-1131 calBCE (3019±26 BP, SUERC-75916)",574585,"PASS"
"I2651","I2651","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2651_1240k.bam","Scotland_N","Scotland, Orkney, Holm of Papa Westray North","Great Britain",59.35,-2.873,5160,"3330-3090 calBCE (4525±36 BP, SUERC-68643)",768079,"PASS"
"I2650","I2650","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2650_1240k.bam","Scotland_N","Scotland, Orkney, Holm of Papa Westray North","Great Britain",59.35,-2.873,5380,"3500-3360 calBCE (4754±36 BP, SUERC-68642)",770497,"PASS"
"I2657","I2657","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2657_1240k.bam","Scotland_N","Scotland, Macarthur Cave","Great Britain",56.42,-5.472,5814,"3955-3773 calBCE (5052±30 BP, SUERC-68701)",146338,"PASS"
"I2656_published_d","I2656","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2656_1240k.bam","Scotland_LBA_published","Scotland, Longniddry, Grainfoot","Great Britain",55.97,-2.896,3081,"1283-940 calBCE (2930±50 BP, GU-2762)",15271,"PASS (literature)"
"I2655","I2655","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2655_1240k.bam","Scotland_MBA","Scotland, Pabbay Mor","Great Britain",58.23,-6.935,3311,"1445-1268 calBCE (3105±35 BP, SUERC-9172)",835188,"PASS"
"I2654","I2654","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2654_1240k.bam","Scotland_MBA","Scotland, Longniddry, Evergreen","Great Britain",55.98,-2.896,3287,"1419-1261 calBCE (3074±29 BP, SUERC-75917)",518165,"PASS"
"I2659","I2659","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2659_1240k.bam","Scotland_N","Scotland, Distillery Cave","Great Britain",56.41,-5.471,5637,"3766-3640 calBCE (4914±27 BP, SUERC-68702)",792497,"PASS"
"I12147","I12147","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12147.bam","Pakistan_Katelai_IA","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,3052,"1203-1014 calBCE (2910±25 BP, PSUAMS-5426)",430947,"PASS"
"I12146_published","I12146","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12146.bam","Pakistan_Katelai_IA_published","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",609366,"PASS"
"I1878_published","I1878","LipsonNature2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I1878.1240k.bam","Hungary_EN_Starcevo_1_published","Alsonyek-Bataszek, Mérnöki telep","Hungary",46.208562,18.700047,7687,"5830-5664 calBCE (6857±31 BP, MAMS-11935)",709555,"PASS (X-contam=0.009; mtcontam=0.95)"
"PN16.SG","PN16","CassidyNature2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Cassidy_Nature_2020/PN16-A-WEX1.trimmed25bp25q.sorted.grouped.duprm.indel.bam","Ireland_MN.SG","Ireland, Clare, Poulnabrone","Ireland",53.04866,-9.140049,5442,"3630-3374 calBCE (4719±38 BP, UBA-39202)",439893,"PASS (literature)"
"I12143_published","I12143","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12143.bam","Pakistan_Katelai_IA_published","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",469049,"PASS"
"I12142_published","I12142","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12142.bam","Pakistan_Katelai_IA_published","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",473073,"PASS"
